                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.71672,                 0.5919,                  1.028,                0.86623,                0.63911,                0.83018,                0.63028,                 1.0158,                0.95111,                  1.423,             0.00096215,             0.00096215,             0.00096215
                     35,                 0.7052,                 0.5756,                 1.0254,                0.80909,                 0.6619,                0.74858,                0.56808,                0.98766,                  1.178,                 1.3405,               0.000948,               0.000948,               0.000948
                     36,                0.69388,                0.57304,                 1.0195,                0.76714,                0.64327,                0.76219,                0.53601,                 1.1049,                 1.2061,                 1.4422,             0.00093385,             0.00093385,             0.00093385
                     37,                0.73664,                0.59599,                  1.038,                0.72334,                0.77084,                0.77197,                0.51509,                 1.1898,                 1.0365,                 1.5016,              0.0009197,              0.0009197,              0.0009197
                     38,                  0.669,                0.56137,                 1.0122,                0.74357,                0.65558,                0.72659,                0.48649,                 1.1573,                 1.1151,                 1.4876,             0.00090556,             0.00090556,             0.00090556
                     39,                0.66213,                0.56932,                 1.0093,                0.86483,                0.82046,                0.87095,                0.61497,                 1.1574,                0.82619,                 1.4869,             0.00089141,             0.00089141,             0.00089141
                     40,                0.64552,                0.55803,                0.98234,                 0.6165,                0.78677,                0.77449,                0.53024,                 1.2301,                 1.1994,                 1.5612,             0.00087726,             0.00087726,             0.00087726
                     41,                0.65271,                0.56647,                0.99036,                0.66623,                0.79494,                0.78144,                0.57032,                   1.08,                0.95474,                  1.401,             0.00086312,             0.00086312,             0.00086312
                     42,                0.66899,                0.55338,                 1.0029,                0.67487,                0.77631,                0.77116,                0.52364,                 1.2366,                0.93035,                 1.4898,             0.00084897,             0.00084897,             0.00084897
                     43,                0.67688,                0.55751,                 1.0056,                0.70378,                 0.7892,                0.75202,                0.52776,                 1.0736,                 1.1396,                 1.3958,             0.00083482,             0.00083482,             0.00083482
