                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.012,                 3.1529,                 1.3608,                0.00349,                      1,                0.40383,                 0.2448,                0.95656,                 3.3749,                 1.3316,             0.00020006,             0.00020006,             0.00020006
                      1,                0.85446,                 1.9542,                 1.2043,                0.00336,                0.97124,                0.40541,                0.23116,                 1.0874,                 3.5062,                 1.5277,               0.000408,               0.000408,               0.000408
                      2,                0.86741,                 1.7247,                 1.2074,                0.70475,                0.22667,                0.47529,                0.19313,                 1.6739,                 3.7735,                 2.3658,             0.00060931,             0.00060931,             0.00060931
                      3,                0.90801,                 1.6444,                 1.2065,                0.32179,                 0.1732,                0.31623,                0.11785,                 1.9373,                 4.0008,                 2.8679,             0.00080398,             0.00080398,             0.00080398
                      4,                0.85707,                 1.5266,                 1.1539,                0.42843,                0.31527,                0.33583,                0.18023,                 1.4591,                 3.0897,                 1.9591,             0.00099203,             0.00099203,             0.00099203
                      5,                 0.8057,                 1.4051,                 1.1321,                0.73091,                0.23333,                0.13541,                 0.0678,                 1.4611,                 5.4333,                 1.8769,              0.0011734,              0.0011734,              0.0011734
                      6,                 0.8556,                  1.439,                 1.1658,                0.22752,                0.58431,                0.33673,                0.18599,                 1.6699,                 8.7393,                 2.3778,              0.0012964,              0.0012964,              0.0012964
                      7,                0.80966,                 1.3121,                 1.1282,                0.37278,                0.55686,                0.32322,                 0.1791,                 1.4584,                 3.6354,                 2.0598,              0.0012964,              0.0012964,              0.0012964
                      8,                0.85368,                   1.35,                  1.145,                0.32833,                0.53303,                0.34361,                0.20521,                 1.3086,                 3.0291,                 1.8141,              0.0012743,              0.0012743,              0.0012743
                      9,                0.86656,                 1.2312,                 1.1669,                0.40578,                 0.1549,                0.16524,                0.09236,                 1.4278,                 3.6954,                 1.7845,              0.0012522,              0.0012522,              0.0012522
                     10,                0.86843,                 1.2539,                 1.1673,                0.90455,                    0.2,                0.28308,                0.15235,                 1.6414,                 3.8549,                  2.114,              0.0012301,              0.0012301,              0.0012301
                     11,                0.81287,                  1.125,                 1.1091,                0.43075,                0.53856,                0.44731,                0.25834,                  1.652,                 2.9486,                 2.2034,               0.001208,               0.001208,               0.001208
                     12,                0.80961,                 1.1444,                 1.1303,                0.40592,                0.35163,                 0.2765,                 0.1428,                 1.6007,                 3.5315,                 1.9431,              0.0011858,              0.0011858,              0.0011858
                     13,                0.82483,                  1.222,                 1.1323,                0.57643,                 0.3366,                0.42494,                0.28805,                  1.206,                 2.2505,                 1.6307,              0.0011637,              0.0011637,              0.0011637
                     14,                0.86587,                 1.0739,                 1.1479,                0.50146,                0.39683,                0.38158,                0.22048,                 1.2599,                 2.8786,                 1.6884,              0.0011416,              0.0011416,              0.0011416
                     15,                0.82874,                 1.0281,                 1.1321,                0.77198,                0.36068,                0.42393,                0.26841,                 1.3308,                 2.7886,                 1.7494,              0.0011195,              0.0011195,              0.0011195
                     16,                0.77802,                 0.9551,                 1.0721,                0.74679,                0.69572,                0.67384,                0.45371,                 1.2129,                  1.712,                 1.6637,              0.0010974,              0.0010974,              0.0010974
                     17,                0.82814,                 1.0382,                 1.1391,                0.72001,                0.52855,                0.63594,                0.41277,                 1.3743,                 1.9064,                 1.8751,              0.0010753,              0.0010753,              0.0010753
                     18,                0.84409,                 1.0575,                 1.1704,                0.30501,                0.56209,                0.49246,                0.30281,                 1.2299,                 2.5462,                 1.6879,              0.0010532,              0.0010532,              0.0010532
                     19,                0.80668,                 1.2566,                 1.1376,                0.68666,                0.75695,                 0.7068,                0.50355,                 1.1086,                 1.6032,                 1.5574,              0.0010311,              0.0010311,              0.0010311
                     20,                0.75091,                0.92685,                 1.0706,                0.66973,                0.62032,                0.58652,                 0.3976,                  1.241,                   1.88,                 1.7426,               0.001009,               0.001009,               0.001009
                     21,                0.76908,                0.85824,                 1.0686,                0.64218,                0.75098,                0.73928,                0.49771,                 1.1593,                 1.7694,                 1.5854,              0.0009869,              0.0009869,              0.0009869
                     22,                0.78749,                0.87954,                 1.1116,                0.72337,                0.70402,                0.75231,                0.50092,                 1.2662,                 1.7302,                 1.6411,              0.0009648,              0.0009648,              0.0009648
                     23,                 0.7116,                0.77766,                 1.0621,                0.80249,                0.41725,                0.63903,                0.42244,                 1.4433,                 2.1431,                 1.8176,             0.00094269,             0.00094269,             0.00094269
                     24,                0.77581,                0.87356,                 1.0738,                0.60294,                0.56655,                0.63288,                0.42821,                 1.2912,                 1.7163,                 1.6565,             0.00092059,             0.00092059,             0.00092059
                     25,                0.75517,                0.79165,                 1.0768,                0.34108,                0.39221,                0.37877,                0.22087,                 1.3528,                 2.7189,                 1.7068,             0.00089848,             0.00089848,             0.00089848
                     26,                0.83708,                0.88446,                 1.1999,                0.53831,                  0.697,                0.68103,                0.47059,                  1.183,                 2.0146,                 1.5969,             0.00087638,             0.00087638,             0.00087638
                     27,                0.67124,                0.72157,                  1.024,                0.59897,                0.87515,                0.82085,                0.59322,                 1.1092,                 1.5994,                 1.5817,             0.00085427,             0.00085427,             0.00085427
                     28,                0.70627,                0.77032,                 1.0665,                0.62014,                0.65033,                 0.6547,                0.41463,                 1.3801,                 2.0404,                 1.8104,             0.00083217,             0.00083217,             0.00083217
                     29,                0.70444,                0.73478,                 1.0409,                0.82127,                0.59632,                0.80277,                0.53488,                 1.2143,                 1.5017,                 1.6181,             0.00081006,             0.00081006,             0.00081006
                     30,                0.66769,                0.67938,                 1.0107,                 0.7041,                0.70782,                0.83841,                0.52724,                 1.2618,                 1.7688,                 1.6337,             0.00078796,             0.00078796,             0.00078796
                     31,                0.67807,                0.69565,                 1.0396,                0.76668,                0.75167,                 0.8301,                0.53354,                 1.3959,                 1.6363,                 1.7948,             0.00076585,             0.00076585,             0.00076585
                     32,                0.68194,                0.69918,                  1.029,                0.67054,                0.67779,                0.77905,                0.50781,                 1.3208,                 1.7841,                 1.7036,             0.00074375,             0.00074375,             0.00074375
                     33,                0.69425,                0.77413,                 1.0647,                 0.5786,                0.75803,                0.73567,                0.45399,                 1.2574,                  1.783,                 1.6828,             0.00072164,             0.00072164,             0.00072164
