                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.68662,                0.65501,                 1.0446,                0.44423,                0.73966,                0.62101,                0.41195,                 1.2655,                 1.9579,                 1.6715,             0.00069954,             0.00069954,             0.00069954
                     35,                0.66645,                0.63271,                 1.0104,                0.86298,                0.67651,                0.82703,                0.51096,                 1.3357,                  1.147,                 1.8038,             0.00067744,             0.00067744,             0.00067744
                     36,                0.63313,                0.60752,                  1.009,                 0.7592,                0.79085,                0.80414,                0.49918,                  1.244,                 1.2435,                 1.7474,             0.00065533,             0.00065533,             0.00065533
                     37,                0.67836,                 0.6451,                 1.0173,                0.65217,                0.91527,                0.83029,                0.56384,                 1.1923,                 1.4731,                 1.6126,             0.00063323,             0.00063323,             0.00063323
                     38,                0.66331,                0.61265,                 1.0416,                0.78008,                0.91855,                0.91119,                 0.6343,                 1.0421,                0.98759,                 1.4597,             0.00061112,             0.00061112,             0.00061112
                     39,                0.63201,                0.62064,                 1.0067,                0.81325,                 0.8621,                0.92756,                0.65657,                 1.0187,                0.81456,                 1.4756,             0.00058902,             0.00058902,             0.00058902
                     40,                0.59235,                 0.5503,                0.99431,                0.85089,                0.72797,                0.85227,                0.56681,                 1.2078,                 1.0929,                 1.6505,             0.00056691,             0.00056691,             0.00056691
                     41,                0.59856,                 0.5541,                 1.0041,                0.72085,                0.80196,                0.85793,                0.53611,                 1.2759,                 1.4581,                 1.6384,             0.00054481,             0.00054481,             0.00054481
                     42,                0.78426,                0.77064,                 1.2293,                0.73935,                0.70649,                0.83285,                0.60333,                 1.0219,                 1.3978,                  1.456,              0.0005227,              0.0005227,              0.0005227
                     43,                0.66719,                0.60986,                 1.0434,                0.75535,                0.73444,                0.86521,                0.61346,                 1.0229,                 1.5921,                 1.4803,              0.0005006,              0.0005006,              0.0005006
                     44,                0.56221,                0.53791,                0.96708,                0.63225,                0.83888,                0.82923,                0.55596,                  1.109,                 1.5775,                 1.5382,             0.00047849,             0.00047849,             0.00047849
                     45,                0.58666,                0.66539,                 1.0312,                0.65033,                0.89608,                0.85712,                0.57601,                 1.1825,                 1.6795,                 1.6006,             0.00045639,             0.00045639,             0.00045639
                     46,                0.56424,                0.51388,                0.99707,                0.63124,                0.88167,                0.89009,                0.57012,                 1.1444,                 1.5407,                 1.6002,             0.00043428,             0.00043428,             0.00043428
                     47,                0.55904,                 0.5015,                0.98443,                 0.8153,                0.77075,                0.90132,                0.63536,                 1.0854,                 1.3831,                 1.5609,             0.00041218,             0.00041218,             0.00041218
                     48,                0.56952,                0.54987,                0.99791,                0.80292,                0.76927,                0.90316,                0.64471,                 1.1003,                  1.331,                 1.5749,             0.00039007,             0.00039007,             0.00039007
                     49,                0.57199,                0.50754,                0.99296,                0.68827,                 0.7997,                0.86862,                0.61438,                 1.1327,                 1.5777,                 1.6173,             0.00036797,             0.00036797,             0.00036797
                     50,                0.53622,                0.47407,                0.95332,                 0.6642,                0.80818,                0.87431,                0.61155,                 1.1476,                 1.5498,                 1.6193,             0.00034586,             0.00034586,             0.00034586
                     51,                0.52734,                0.48979,                0.95725,                0.67044,                0.83859,                0.87415,                0.66139,                  1.022,                  1.431,                 1.4894,             0.00032376,             0.00032376,             0.00032376
                     52,                0.56171,                0.47994,                0.98376,                0.79972,                0.66991,                0.82059,                  0.634,                 1.0086,                 1.3091,                 1.4647,             0.00030165,             0.00030165,             0.00030165
                     53,                0.56259,                0.48531,                0.97221,                0.81833,                0.73241,                0.85526,                0.62392,                 1.0528,                  1.117,                  1.526,             0.00027955,             0.00027955,             0.00027955
                     54,                0.58851,                0.52951,                 1.0333,                0.64632,                0.81503,                0.86337,                 0.6435,                 1.0656,                 1.2574,                 1.5297,             0.00025744,             0.00025744,             0.00025744
                     55,                0.51114,                0.45958,                0.95105,                0.64434,                0.82035,                0.87106,                 0.6252,                 1.1029,                 1.3431,                 1.5367,             0.00023534,             0.00023534,             0.00023534
                     56,                0.56627,                0.48395,                0.99668,                0.66195,                0.84093,                0.90189,                0.64442,                 1.0616,                 1.4226,                  1.502,             0.00021323,             0.00021323,             0.00021323
                     57,                0.53435,                0.49718,                0.96632,                0.70396,                0.83595,                0.93227,                0.66835,                 1.0508,                 1.4568,                 1.4957,             0.00019113,             0.00019113,             0.00019113
                     58,                0.51061,                0.44941,                0.96687,                0.66388,                0.82941,                 0.8995,                 0.6441,                 1.0462,                 1.4557,                 1.4932,             0.00016902,             0.00016902,             0.00016902
                     59,                0.50921,                 0.4529,                 0.9689,                0.65862,                0.78894,                0.87984,                0.63401,                  1.053,                    1.5,                 1.5093,             0.00014692,             0.00014692,             0.00014692
                     60,                0.50253,                0.43674,                0.95738,                0.65614,                0.79359,                0.89068,                0.64451,                 1.0319,                 1.5244,                 1.4967,             0.00012481,             0.00012481,             0.00012481
                     61,                0.50031,                0.44661,                0.96572,                0.68851,                0.79964,                0.90644,                0.65195,                  1.027,                 1.5154,                 1.5006,             0.00010271,             0.00010271,             0.00010271
                     62,                0.54939,                0.50323,                0.98609,                0.67808,                0.81333,                0.90538,                0.65743,                 1.0679,                 1.5944,                 1.5217,             8.0605e-05,             8.0605e-05,             8.0605e-05
                     63,                0.52095,                0.73402,                0.96613,                0.69041,                0.82251,                0.91419,                0.66581,                 1.0564,                 1.5548,                 1.5121,               5.85e-05,               5.85e-05,               5.85e-05
